"Country/Area Name","Year","GROUP","GENC","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio of the Population"
"Bangladesh","2025","","BD","170,183,916","100.0","83,384,559","100.0","86,799,357","100.0","0.96"
"Bangladesh","2025","0","BD","2,838,352","1.7","1,443,974","1.7","1,394,378","1.6","1.04"
"Bangladesh","2025","1","BD","2,831,151","1.7","1,439,595","1.7","1,391,556","1.6","1.03"
"Bangladesh","2025","2","BD","2,829,154","1.7","1,438,395","1.7","1,390,759","1.6","1.03"
"Bangladesh","2025","3","BD","2,826,806","1.7","1,437,004","1.7","1,389,802","1.6","1.03"
"Bangladesh","2025","4","BD","2,823,179","1.7","1,434,960","1.7","1,388,219","1.6","1.03"
"Bangladesh","2025","5","BD","2,823,953","1.7","1,435,203","1.7","1,388,750","1.6","1.03"
"Bangladesh","2025","6","BD","2,827,151","1.7","1,436,733","1.7","1,390,418","1.6","1.03"
"Bangladesh","2025","7","BD","2,825,840","1.7","1,436,005","1.7","1,389,835","1.6","1.03"
"Bangladesh","2025","8","BD","2,821,996","1.7","1,434,005","1.7","1,387,991","1.6","1.03"
"Bangladesh","2025","9","BD","2,816,716","1.7","1,431,284","1.7","1,385,432","1.6","1.03"
"Bangladesh","2025","10","BD","2,814,305","1.7","1,430,860","1.7","1,383,445","1.6","1.03"
"Bangladesh","2025","11","BD","2,812,109","1.7","1,431,391","1.7","1,380,718","1.6","1.04"
"Bangladesh","2025","12","BD","2,804,637","1.6","1,429,242","1.7","1,375,395","1.6","1.04"
"Bangladesh","2025","13","BD","2,794,577","1.6","1,425,778","1.7","1,368,799","1.6","1.04"
"Bangladesh","2025","14","BD","2,782,666","1.6","1,421,320","1.7","1,361,346","1.6","1.04"
"Bangladesh","2025","15","BD","2,776,807","1.6","1,417,732","1.7","1,359,075","1.6","1.04"
"Bangladesh","2025","16","BD","2,777,243","1.6","1,415,198","1.7","1,362,045","1.6","1.04"
"Bangladesh","2025","17","BD","2,776,164","1.6","1,411,882","1.7","1,364,282","1.6","1.03"
"Bangladesh","2025","18","BD","2,771,614","1.6","1,406,798","1.7","1,364,816","1.6","1.03"
"Bangladesh","2025","19","BD","2,761,438","1.6","1,398,837","1.7","1,362,601","1.6","1.03"
"Bangladesh","2025","20","BD","2,773,397","1.6","1,400,812","1.7","1,372,585","1.6","1.02"
"Bangladesh","2025","21","BD","2,809,095","1.7","1,414,461","1.7","1,394,634","1.6","1.01"
"Bangladesh","2025","22","BD","2,837,419","1.7","1,424,362","1.7","1,413,057","1.6","1.01"
"Bangladesh","2025","23","BD","2,859,002","1.7","1,430,850","1.7","1,428,152","1.6","1.00"
"Bangladesh","2025","24","BD","2,873,159","1.7","1,433,581","1.7","1,439,578","1.7","1.00"
"Bangladesh","2025","25","BD","2,929,408","1.7","1,454,334","1.7","1,475,074","1.7","0.99"
"Bangladesh","2025","26","BD","3,033,245","1.8","1,498,222","1.8","1,535,023","1.8","0.98"
"Bangladesh","2025","27","BD","3,034,101","1.8","1,490,191","1.8","1,543,910","1.8","0.97"
"Bangladesh","2025","28","BD","2,943,758","1.7","1,435,924","1.7","1,507,834","1.7","0.95"
"Bangladesh","2025","29","BD","2,852,610","1.7","1,382,794","1.7","1,469,816","1.7","0.94"
"Bangladesh","2025","30","BD","2,782,680","1.6","1,343,939","1.6","1,438,741","1.7","0.93"
"Bangladesh","2025","31","BD","2,747,642","1.6","1,325,533","1.6","1,422,109","1.6","0.93"
"Bangladesh","2025","32","BD","2,708,111","1.6","1,301,533","1.6","1,406,578","1.6","0.93"
"Bangladesh","2025","33","BD","2,665,268","1.6","1,275,829","1.5","1,389,439","1.6","0.92"
"Bangladesh","2025","34","BD","2,624,127","1.5","1,254,509","1.5","1,369,618","1.6","0.92"
"Bangladesh","2025","35","BD","2,586,013","1.5","1,236,067","1.5","1,349,946","1.6","0.92"
"Bangladesh","2025","36","BD","2,561,973","1.5","1,224,100","1.5","1,337,873","1.5","0.91"
"Bangladesh","2025","37","BD","2,527,321","1.5","1,206,799","1.4","1,320,522","1.5","0.91"
"Bangladesh","2025","38","BD","2,488,723","1.5","1,187,715","1.4","1,301,008","1.5","0.91"
"Bangladesh","2025","39","BD","2,437,934","1.4","1,161,435","1.4","1,276,499","1.5","0.91"
"Bangladesh","2025","40","BD","2,395,041","1.4","1,141,996","1.4","1,253,045","1.4","0.91"
"Bangladesh","2025","41","BD","2,351,185","1.4","1,123,739","1.3","1,227,446","1.4","0.92"
"Bangladesh","2025","42","BD","2,303,558","1.4","1,102,139","1.3","1,201,419","1.4","0.92"
"Bangladesh","2025","43","BD","2,249,655","1.3","1,076,571","1.3","1,173,084","1.4","0.92"
"Bangladesh","2025","44","BD","2,202,997","1.3","1,052,033","1.3","1,150,964","1.3","0.91"
"Bangladesh","2025","45","BD","2,116,077","1.2","1,007,307","1.2","1,108,770","1.3","0.91"
"Bangladesh","2025","46","BD","2,063,840","1.2","975,392","1.2","1,088,448","1.3","0.90"
"Bangladesh","2025","47","BD","2,035,241","1.2","959,405","1.2","1,075,836","1.2","0.89"
"Bangladesh","2025","48","BD","2,022,611","1.2","952,189","1.1","1,070,422","1.2","0.89"
"Bangladesh","2025","49","BD","2,009,117","1.2","941,715","1.1","1,067,402","1.2","0.88"
"Bangladesh","2025","50","BD","1,983,630","1.2","927,476","1.1","1,056,154","1.2","0.88"
"Bangladesh","2025","51","BD","1,938,992","1.1","905,995","1.1","1,032,997","1.2","0.88"
"Bangladesh","2025","52","BD","1,877,119","1.1","878,242","1.1","998,877","1.2","0.88"
