economy,series,Country,Series,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
CSS,NY.GDP.MKTP.CD,Caribbean small states,GDP (current US$),2397842651.9493,2458775081.47749,2808968853.6789,3226380514.09272,3811626338.15546,4640496434.89829,4985368810.71414,5152277681.83995,5425283192.66286,5931964823.39849,6418682782.63947,6979226682.74972,7536665470.62585,8248794624.43129,8283187777.25416,8505740261.29832,8639379130.22872,8803913215.56088,9146907427.63178,9841850113.56279,10403406491.1197,11182904174.0661,14337614317.5769,15600545085.515,16585437189.6651,17471510858.4906,17643048266.6049,18692379239.4334,19254397501.9767,20288513843.515,22215175058.8425,25930657640.6854,28075119900.587,29403259497.5744,28715218885.0954,30378579903.7344,31032622591.1606,32709956406.1337,33069159224.9635,34129544764.2666,35085992997.3327,33933421225.4017,35438120141.0662,36727457619.9835,38046955433.6011,31763210392.7783,37091445807.6818,48740490013.1088,53296161046.3074,
CRI,NY.GDP.MKTP.CD,Costa Rica,GDP (current US$),1960863465.5776,2412555425.90432,3072427012.83547,3523208809.80163,4035519323.22054,4831447001.16686,2623803095.78501,2606623554.56582,3146772630.77263,3660477856.22977,3919203960.39604,4418983870.96774,4532952047.15628,4614629898.40348,5251025767.47627,5711687786.75989,7215725487.30549,8579754757.93237,9564815975.14743,10489903725.0032,11578594259.8675,11678424507.2457,12614602382.2012,13684255946.5765,14254866284.6542,15013629661.8969,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.3032,26884700709.3146,30801745700.4514,30745714312.6417,37658616951.8038,42762613698.9636,47231655431.7355,50949668841.6696,52016408854.2658,56441920820.5194,58847019609.6549,60516044656.5206,62420164991.5374,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,86497941439.0174,
CPV,NY.GDP.MKTP.CD,Cabo Verde,GDP (current US$),,,,,,142246815.345007,139468209.116206,140630678.983478,138476175.620363,132019038.591628,137728204.813735,190651167.559385,235253064.70982,264308140.285149,267448571.414611,306890962.649533,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979269.843942,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563090490.377368,620507387.466174,813260468.873834,924940011.836897,972241676.907662,1107571457.90614,1649621738.63689,1959620648.31578,1852334575.17521,1824751467.92957,2046817987.20109,1913081210.41411,2028910915.16446,2041930125.42979,1749857620.35329,1849789992.7426,1996741544.61574,2205099509.15987,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,2533819406.4916,
COM,NY.GDP.MKTP.CD,Comoros,GDP (current US$),,,,,,212218261.585643,196349931.540286,184009013.562815,191621954.855332,184697225.637076,196726096.329131,279197721.807577,337525852.647575,356500032.676316,341476768.326033,429622177.724885,424108769.502231,457388651.500941,452881475.071813,319189184.255639,398461797.009413,396053805.891754,364445600.525492,370106745.930146,382454989.945311,351136579.648632,378512024.077556,425964681.044378,546885222.713065,633706110.795614,653845169.168576,698431793.872776,795673152.867077,915659107.965823,905341172.70583,907978730.887844,1023086273.53336,1015843490.82374,1116224106.83728,1149587661.00693,966029600.862227,1012835493.19325,1077439756.59451,1188797449.38584,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,1352380971.24055,
COL,NY.GDP.MKTP.CD,Colombia,GDP (current US$),13098633901.8673,15341403660.4698,19470960619.1297,23263511958.0509,27940411250.2732,33400735644.0481,36388366869.0309,38968039721.748,38729822781.5997,38253120737.9671,34894419443.4881,34942489683.9712,36373307085.0887,39212550050.4223,39540080200.3938,47844090709.9908,49637993948.8402,58394443377.5416,66474101301.1759,81705497616.5703,92495970511.3951,97153389010.9466,106656492293.614,98486358581.1639,86278947636.962,99875074951.0278,98200641203.3892,97945812802.8882,94644969157.0987,117092416666.245,145600529605.803,161792958904.864,206229540926.312,242504150472.931,232468663109.595,286498534094.963,334966134804.887,370691143018.039,382093697077.685,381240864422.407,293492370193.166,282720100286.228,311866875156.879,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345329875078.512,363493841244.303,
COG,NY.GDP.MKTP.CD,"Congo, Rep.",GDP (current US$),767102680.239967,754549601.391492,765224029.286556,878771772.202149,1198749667.42923,1705796852.89473,1993512322.62391,2160640564.56041,2097274289.75066,2193581365.34299,2160872540.03175,1849268212.30284,2297753652.34929,2212536311.99319,2389593025.60339,2798746050.11354,2724853505.80336,2933222703.0334,2684323623.14372,1769365437.78801,2116003867.75536,2540697539.05773,2322719102.6909,1949481379.21951,2354772960.28296,3227927697.57921,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919321078.0284,12434793867.3568,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167,
COD,NY.GDP.MKTP.CD,"Congo, Dem. Rep.",GDP (current US$),10237343173.6527,9648583224.99212,12344424763.5727,15372608002.3923,15068422236.3663,14394927494.8647,12537821038.2202,13651667371.1676,11006712650.4481,7857729193.20343,7195042616.0071,8095367168.21769,7661625472.57705,8861299976.74158,9021862775.18112,9349764580.41173,9087965281.52726,8206227134.00857,10707792340.0276,5820383305.54668,5643439376.10491,5771454939.62404,6090840548.18784,6217806273.31082,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484465.9388,14451901696.3878,16737071816.38,19788515590.1284,18648372553.0921,21565721044.8462,25839749199.3671,29306235285.2597,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5815,66383287002.9867,
CMR,NY.GDP.MKTP.CD,Cameroon,GDP (current US$),2857037371.05886,2898090001.8562,3394664024.05503,4662852583.13256,5919002982.602,6674569046.6832,6610938616.6643,6611255963.83584,6870200009.90065,7311938026.36713,8544810497.9889,11857056199.0765,13049659981.1373,12236057362.4917,11012566195.0255,12314482627.8454,11840192296.3893,12071775335.0433,16181814712.5295,8902446252.18372,10864772470.9043,11093538846.4483,10789458432.6416,11298144990.4104,11565826464.8921,10566579294.9831,10953485349.1135,12417251350.4882,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,27715142032.913,27932970317.129,27507501821.0296,30630910495.217,30155062329.2821,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826,
CIV,NY.GDP.MKTP.CD,Cote d'Ivoire,GDP (current US$),3893839190.26806,4662053824.83955,6265068189.37782,7900526298.31993,9142933966.79465,10175617609.0962,8432589942.39434,7567110848.92228,6838184772.52063,6841639246.8996,6977650643.99488,9158302099.57957,10087654464.8168,10255169805.7996,9757410644.6679,10795850582.779,10492628580.7484,11152971273.9383,11045760288.1206,8313557510.14757,11000146266.5135,18071152830.6101,18047558037.7036,19619654755.679,18870992455.568,16577533891.8785,16810537043.8407,18054383320.8474,21251754340.4305,23510575681.3686,24036918703.1747,25281413263.3712,28760090953.3081,34078240293.2559,33886813250.2036,34936307980.063,36693710801.3976,36302302877.2977,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,78875489245.0538,
CHN,NY.GDP.MKTP.CD,China,GDP (current US$),163429530659.638,153939265947.775,174935933078.663,149540752829.268,178280594413.043,191149211575.0,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564321854521.013,734484834573.582,863749314718.538,961601980984.623,1029060747620.65,1094003874937.34,1211331651866.09,1339400897105.11,1470557654799.95,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6,14279968506271.7,14687744162801.0,17820459508852.2,17881782683707.3,17794783039552.0,
